tipo,nivel,descricao,quantidade,valor_unitario,valor_total,ramo
Distintivo de Especialidade,Nivel 2,Acampamento,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 1,Acampamento,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 3,Acampamento,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 1,Agricultura,10,1.40,14.00,Jovens
Distintivo de Especialidade,Nivel 1,Anatomia Humana,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 1,Animação da Fé,3,1.40,4.20,Jovens
Distintivo de Especialidade,Nivel 3,Animação da Fé,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 1,Aquariofilia,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 2,Aquariofilia,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 3,Aquariofilia,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 2,Arqueologia,3,1.40,4.20,Jovens
Distintivo de Especialidade,Nivel 3,Arqueologia,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 2,Arte em Origami,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 1,Arte em Origami,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 3,Artes Cênicas,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 2,Artes Cênicas,3,1.40,4.20,Jovens
Distintivo de Especialidade,Nivel 1,Artes Cênicas,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 2,Artes Gráficas,3,1.40,4.20,Jovens
Distintivo de Especialidade,Nivel 1,Artes Gráficas,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 3,Artes Gráficas,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 1,Artes Marciais,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 2,Artes Marciais,2,1.40,2.80,Jovens
Distintivo de Especialidade,Nivel 2,Artesanato,1,1.40,1.40,Jovens
Distintivo de Especialidade,Nivel 1,Artesanato,4,1.40,5.60,Jovens
Distintivo de Especialidade,Nivel 1,Astronomia,17,1.40,23.80,Jovens
Distintivo de Especialidade,Nivel 1,Biblioteconomia,2,1.40,2.80,Jovens
Certificado,Não Tem,Certificado de Progressão Pessoal Ramo Escoteiro,39,2.00,78.00,Escoteiro
